"Query","Entrez","Symbol","Name","Comment"
"Ugcg","22234","Ugcg","UDP-glucose ceramide glucosyltransferase","1"
"Ptbp3","NA","NA","NA","0"
"Hsdl2","72479","Hsdl2","hydroxysteroid dehydrogenase like 2","1"
"Snx30","209131","Snx30","sorting nexin family member 30","1"
"Slc46a2","30936","Slc46a2","solute carrier family 46, member 2","1"
"Zfp37","22696","Zfp37","zinc finger protein 37","1"
"Wdr31","71354","Wdr31","WD repeat domain 31","1"
"Bspry","192120","Bspry","B-box and SPRY domain containing","1"
"Alad","17025","Alad","aminolevulinate, delta-, dehydratase","1"
"Pole3","59001","Pole3","polymerase (DNA directed), epsilon 3 (p17 subunit)","1"
"2310002L09Rik","71886","2310002L09Rik","RIKEN cDNA 2310002L09 gene","1"
"Kdm4c","76804","Kdm4c","lysine (K)-specific demethylase 4C","1"
"Tmem261","NA","NA","NA","0"
"Ptprd","19266","Ptprd","protein tyrosine phosphatase, receptor type, D","1"
"Mpdz","17475","Mpdz","multiple PDZ domain protein","1"
"Zdhhc21","68268","Zdhhc21","zinc finger, DHHC domain containing 21","1"
"Aco1","11428","Aco1","aconitase 1","1"
"Smu1","74255","Smu1","smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)","1"
"Dnaja1","15502","Dnaja1","DnaJ (Hsp40) homolog, subfamily A, member 1","1"
"Aptx","66408","Aptx","aprataxin","1"
"Slc44a1","100434","Slc44a1","solute carrier family 44, member 1","1"
"B4galt1","14595","B4galt1","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1","1"
"Fktn","246179","Fktn","fukutin","1"
"Spink4","20731","Spink4","serine peptidase inhibitor, Kazal type 4","1"
"Bag1","12017","Bag1","BCL2-associated athanogene 1","1"
"Tal2","21350","Tal2","T cell acute lymphocytic leukemia 2","1"
"Chmp5","76959","Chmp5","charged multivesicular body protein 5","1"
"Tmem38b","52076","Tmem38b","transmembrane protein 38B","1"
"Nfx1","74164","Nfx1","nuclear transcription factor, X-box binding 1","1"
"Rad23b","19359","Rad23b","RAD23b homolog (S. cerevisiae)","1"
"Aqp7","11832","Aqp7","aquaporin 7","1"
"Nol6","230082","Nol6","nucleolar protein family 6 (RNA-associated)","1"
"Ikbkap","230233","Ikbkap","inhibitor of kappa light polypeptide enhancer in B cells, kinase complex-associated protein","1"
"Ubap2","68926","Ubap2","ubiquitin-associated protein 2","1"
"Epb4.1l4b","54357","Epb4.1l4b","erythrocyte protein band 4.1-like 4b","1"
"Aqp3","11828","Aqp3","aquaporin 3","1"
"Dcaf12","68970","Dcaf12","DDB1 and CUL4 associated factor 12","1"
"Ubap1","67123","Ubap1","ubiquitin-associated protein 1","1"
"Kif24","109242","Kif24","kinesin family member 24","1"
"Fam219a","NA","NA","NA","0"
"1110017D15Rik","73721","1110017D15Rik","RIKEN cDNA 1110017D15 gene","1"
"Nudt2","66401","Nudt2","nudix (nucleoside diphosphate linked moiety X)-type motif 2","1"
"Cntfr","12804","Cntfr","ciliary neurotrophic factor receptor","1"
"Enho","69638","Enho","energy homeostasis associated","1"
"Dctn3","53598","Dctn3","dynactin 3","1"
"1700022I11Rik","67317","1700022I11Rik","RIKEN cDNA 1700022I11 gene","1"
"Vcp","269523","Vcp","valosin containing protein","1"
"Fancg","60534","Fancg","Fanconi anemia, complementation group G","1"
"Pigo","56703","Pigo","phosphatidylinositol glycan anchor biosynthesis, class O","1"
"Stoml2","66592","Stoml2","stomatin (Epb7.2)-like 2","1"
"Unc13b","22249","Unc13b","unc-13 homolog B (C. elegans)","1"
"Atp8b5","320571","Atp8b5","ATPase, class I, type 8B, member 5","1"
"Tesk1","21754","Tesk1","testis specific protein kinase 1","1"
"Cd72","12517","Cd72","CD72 antigen","1"
"Sit1","54390","Sit1","suppression inducing transmembrane adaptor 1","1"
"Ccdc107","622404","Ccdc107","coiled-coil domain containing 107","1"
"Car9","230099","Car9","carbonic anhydrase 9","1"
"Tpm2","22004","Tpm2","tropomyosin 2, beta","1"
"Tln1","21894","Tln1","talin 1","1"
"Creb3","12913","Creb3","cAMP responsive element binding protein 3","1"
"Gba2","230101","Gba2","glucosidase beta 2","1"
"Rgp1","242406","Rgp1","RGP1 retrograde golgi transport homolog (S. cerevisiae)","1"
"Npr2","230103","Npr2","natriuretic peptide receptor 2","1"
"Hint2","68917","Hint2","histidine triad nucleotide binding protein 2","1"
"Reck","53614","Reck","reversion-inducing-cysteine-rich protein with kazal motifs","1"
"Clta","12757","Clta","clathrin, light polypeptide (Lca)","1"
"Gne","50798","Gne","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase","1"
"Glipr2","384009","Glipr2","GLI pathogenesis-related 2","1"
"Snapc3","77634","Snapc3","small nuclear RNA activating complex, polypeptide 3","1"
"Psip1","101739","Psip1","PC4 and SFRS1 interacting protein 1","1"
"Bnc2","242509","Bnc2","basonuclin 2","1"
"Sh3gl2","20404","Sh3gl2","SH3-domain GRB2-like 2","1"
"Saxo1","NA","NA","NA","0"
"Plin2","11520","Plin2","perilipin 2","1"
"Rps6","20104","Rps6","ribosomal protein S6","1"
"Mllt3","70122","Mllt3","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3","1"
"Hacd4","NA","NA","NA","0"
"Usp24","329908","Usp24","ubiquitin specific peptidase 24","1"
"Ppap2b","67916","Ppap2b","phosphatidic acid phosphatase type 2B","1"
"Prkaa2","108079","Prkaa2","protein kinase, AMP-activated, alpha 2 catalytic subunit","1"
"Dab1","13131","Dab1","disabled homolog 1 (Drosophila)","1"
"4921539E11Rik","70941","4921539E11Rik","RIKEN cDNA 4921539E11 gene","1"
"Slc35d1","242585","Slc35d1","solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1","1"
"Mier1","71148","Mier1","mesoderm induction early response 1 homolog (Xenopus laevis","1"
"Tctex1d1","67344","Tctex1d1","Tctex1 domain containing 1","1"
"Sgip1","73094","Sgip1","SH3-domain GRB2-like (endophilin) interacting protein 1","1"
"Pde4b","18578","Pde4b","phosphodiesterase 4B, cAMP specific","1"
"Ak4","11639","Ak4","adenylate kinase 4","1"
"Dnajc6","72685","Dnajc6","DnaJ (Hsp40) homolog, subfamily C, member 6","1"
"Jak1","16451","Jak1","Janus kinase 1","1"
"Cachd1","320508","Cachd1","cache domain containing 1","1"
"Izumo3","69314","Izumo3","IZUMO family member 3","1"
"2610528J11Rik","66451","2610528J11Rik","RIKEN cDNA 2610528J11 gene","1"
"St3gal3","20441","St3gal3","ST3 beta-galactoside alpha-2,3-sialyltransferase 3","1"
"Artn","11876","Artn","artemin","1"
"Dph2","67728","Dph2","DPH2 homolog (S. cerevisiae)","1"
"B4galt2","53418","B4galt2","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2","1"
"Slc6a9","14664","Slc6a9","solute carrier family 6 (neurotransmitter transporter, glycine), member 9","1"
"Slc5a9","230612","Slc5a9","solute carrier family 5 (sodium/glucose cotransporter), member 9","1"
"Bend5","67621","Bend5","BEN domain containing 5","1"
"Elavl4","15572","Elavl4","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)","1"
"Itgb3bp","67733","Itgb3bp","integrin beta 3 binding protein (beta3-endonexin)","1"
"Atg4c","242557","Atg4c","autophagy-related 4C (yeast)","1"
"Cdkn2c","12580","Cdkn2c","cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)","1"
"Eps15","13858","Eps15","epidermal growth factor receptor pathway substrate 15","1"
"Angptl3","30924","Angptl3","angiopoietin-like 3","1"
"Ttc39a","230603","Ttc39a","tetratricopeptide repeat domain 39A","1"
"Dock7","67299","Dock7","dedicator of cytokinesis 7","1"
"Rnf11","29864","Rnf11","ring finger protein 11","1"
"Calr4","108802","Calr4","calreticulin 4","1"
"Osbpl9","100273","Osbpl9","oxysterol binding protein-like 9","1"
"Usp1","230484","Usp1","ubiquitin specific peptidase 1","1"
"Tm2d1","94043","Tm2d1","TM2 domain containing 1","1"
"Nfia","18027","Nfia","nuclear factor I/A","1"
"Txndc12","66073","Txndc12","thioredoxin domain containing 12 (endoplasmic reticulum)","1"
"Btf3l4","70533","Btf3l4","basic transcription factor 3-like 4","1"
"Cyp2j13","230459","Cyp2j13","cytochrome P450, family 2, subfamily j, polypeptide 13","1"
"Hook1","77963","Hook1","hook homolog 1 (Drosophila)","1"
"Fggy","75578","Fggy","FGGY carbohydrate kinase domain containing","1"
"Eqtn","NA","NA","NA","0"
"Ift74","67694","Ift74","intraflagellar transport 74 homolog (Chlamydomonas)","1"
"Plaa","18786","Plaa","phospholipase A2, activating protein","1"
"Caap1","NA","NA","NA","0"
"Pum1","80912","Pum1","pumilio 1 (Drosophila)","1"
"Laptm5","16792","Laptm5","lysosomal-associated protein transmembrane 5","1"
"Cc2d1b","319965","Cc2d1b","coiled-coil and C2 domain containing 1B","1"
"Pdpn","14726","Pdpn","podoplanin","1"
"Lrrc38","242735","Lrrc38","leucine rich repeat containing 38","1"
"Orc1","18392","Orc1","origin recognition complex, subunit 1","1"
"1700012P22Rik","69364","1700012P22Rik","RIKEN cDNA 1700012P22 gene","1"
"Pramef12","77632","Pramef12","PRAME family member 12","1"
"9430007A20Rik","381572","9430007A20Rik","RIKEN cDNA 9430007A20 gene","1"
"Gpx7","67305","Gpx7","glutathione peroxidase 7","1"
"Tnfrsf1b","21938","Tnfrsf1b","tumor necrosis factor receptor superfamily, member 1b","1"
"Podn","242608","Podn","podocan","1"
"Echdc2","52430","Echdc2","enoyl Coenzyme A hydratase domain containing 2","1"
"Tnfrsf8","21941","Tnfrsf8","tumor necrosis factor receptor superfamily, member 8","1"
"Scp2","20280","Scp2","sterol carrier protein 2, liver","1"
"Cpt2","12896","Cpt2","carnitine palmitoyltransferase 2","1"
"0610037L13Rik","74098","0610037L13Rik","RIKEN cDNA 0610037L13 gene","1"
"Magoh","17149","Magoh","mago-nashi homolog, proliferation-associated (Drosophila)","1"
"Dmrtb1","56296","Dmrtb1","DMRT-like family B with proline-rich C-terminal, 1","1"
"Lrp8","16975","Lrp8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","1"
"Ndc1","NA","NA","NA","0"
"Lrrc42","77809","Lrrc42","leucine rich repeat containing 42","1"
"Tmem59","56374","Tmem59","transmembrane protein 59","1"
"Tceanc2","NA","NA","NA","0"
"Cyb5rl","230582","Cyb5rl","cytochrome b5 reductase-like","1"
"Mrpl37","56280","Mrpl37","mitochondrial ribosomal protein L37","1"
"Col9a2","12840","Col9a2","collagen, type IX, alpha 2","1"
"Exo5","NA","NA","NA","0"
"Dyrk2","69181","Dyrk2","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2","1"
"Kcnq4","60613","Kcnq4","potassium voltage-gated channel, subfamily Q, member 4","1"
"Ctps","51797","Ctps","cytidine 5'-triphosphate synthase","1"
"Hivep3","16656","Hivep3","human immunodeficiency virus type I enhancer binding protein 3","1"
"Edn2","13615","Edn2","endothelin 2","1"
"Ppcs","106564","Ppcs","phosphopantothenoylcysteine synthetase","1"
"Ccdc30","73332","Ccdc30","coiled-coil domain containing 30","1"
"Ybx1","22608","Ybx1","Y box protein 1","1"
"Tfap2c","21420","Tfap2c","transcription factor AP-2, gamma","1"
"P3h1","NA","NA","NA","0"
"4930538K18Rik","75180","4930538K18Rik","RIKEN cDNA 4930538K18 gene","1"
"Ccdc23","69216","Ccdc23","coiled-coil domain containing 23","1"
"Ermap","27028","Ermap","erythroblast membrane-associated protein","1"
"Slc2a1","20525","Slc2a1","solute carrier family 2 (facilitated glucose transporter), member 1","1"
"Rragc","54170","Rragc","Ras-related GTP binding C","1"
"Mycbp","56309","Mycbp","c-myc binding protein","1"
"Ndufs5","595136","Ndufs5","NADH dehydrogenase (ubiquinone) Fe-S protein 5","1"
"Macf1","11426","Macf1","microtubule-actin crosslinking factor 1","1"
"Ppie","56031","Ppie","peptidylprolyl isomerase E (cyclophilin E)","1"
"Trit1","66966","Trit1","tRNA isopentenyltransferase 1","1"
"Mycl","NA","NA","NA","0"
"Mfsd2a","76574","Mfsd2a","major facilitator superfamily domain containing 2A","1"
"Cap1","12331","Cap1","CAP, adenylate cyclase-associated protein 1 (yeast)","1"
"Ppt1","19063","Ppt1","palmitoyl-protein thioesterase 1","1"
"Epha8","13842","Epha8","Eph receptor A8","1"
"Ephb2","13844","Ephb2","Eph receptor B2","1"
"Tceb3","27224","Tceb3","transcription elongation factor B (SIII), polypeptide 3","1"
"Pithd1","NA","NA","NA","0"
"Lypla2","26394","Lypla2","lysophospholipase 2","1"
"Gale","74246","Gale","galactose-4-epimerase, UDP","1"
"Hmgcl","15356","Hmgcl","3-hydroxy-3-methylglutaryl-Coenzyme A lyase","1"
"Fuca1","71665","Fuca1","fucosidase, alpha-L- 1, tissue","1"
"Pnrc2","52830","Pnrc2","proline-rich nuclear receptor coactivator 2","1"
"Srsf10","14105","Srsf10","serine/arginine-rich splicing factor 10","1"
"Rnf220","66743","Rnf220","ring finger protein 220","1"
"Kif2c","73804","Kif2c","kinesin family member 2C","1"
"Plk3","12795","Plk3","polo-like kinase 3 (Drosophila)","1"
"Ptch2","19207","Ptch2","patched homolog 2","1"
"Eif2b3","108067","Eif2b3","eukaryotic translation initiation factor 2B, subunit 3","1"
"Urod","22275","Urod","uroporphyrinogen decarboxylase","1"
"Mutyh","70603","Mutyh","mutY homolog (E. coli)","1"
"Toe1","68276","Toe1","target of EGR1, member 1 (nuclear)","1"
"Ccdc163","68394","Ccdc163","coiled-coil domain containing 163","1"
"Mmachc","67096","Mmachc","methylmalonic aciduria cblC type, with homocystinuria","1"
"Prdx1","18477","Prdx1","peroxiredoxin 1","1"
"Akr1a1","58810","Akr1a1","aldo-keto reductase family 1, member A1 (aldehyde reductase)","1"
"Nasp","50927","Nasp","nuclear autoantigenic sperm protein (histone-binding)","1"
"Ipp","16351","Ipp","IAP promoted placental gene","1"
"Pik3r3","18710","Pik3r3","phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)","1"
"Tspan1","66805","Tspan1","tetraspanin 1","1"
"Pomgnt1","68273","Pomgnt1","protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase","1"
"Lurap1","NA","NA","NA","0"
"Rad54l","19366","Rad54l","RAD54 like (S. cerevisiae)","1"
"Lrrc41","230654","Lrrc41","leucine rich repeat containing 41","1"
"Nsun4","72181","Nsun4","NOL1/NOP2/Sun domain family, member 4","1"
"Dmbx1","140477","Dmbx1","diencephalon/mesencephalon homeobox 1","1"
"Mknk1","17346","Mknk1","MAP kinase-interacting serine/threonine kinase 1","1"
"Mob3c","100465","Mob3c","MOB kinase activator 3C","1"
"Atpaf1","230649","Atpaf1","ATP synthase mitochondrial F1 complex assembly factor 1","1"
"Cyp4a31","666168","Cyp4a31","cytochrome P450, family 4, subfamily a, polypeptide 31","1"
"Cyp4b1","13120","Cyp4b1","cytochrome P450, family 4, subfamily b, polypeptide 1","1"
"Cyp4a14","13119","Cyp4a14","cytochrome P450, family 4, subfamily a, polypeptide 14","1"
"Pdzk1ip1","67182","Pdzk1ip1","PDZK1 interacting protein 1","1"
"Tal1","21349","Tal1","T cell acute lymphocytic leukemia 1","1"
"Stil","20460","Stil","Scl/Tal1 interrupting locus","1"
"Cmpk1","66588","Cmpk1","cytidine monophosphate (UMP-CMP) kinase 1","1"
"Ebna1bp2","69072","Ebna1bp2","EBNA1 binding protein 2","1"
"Cfap57","NA","NA","NA","0"
"Pax7","18509","Pax7","paired box gene 7","1"
"Aldh4a1","212647","Aldh4a1","aldehyde dehydrogenase 4 family, member A1","1"
"Tas1r2","83770","Tas1r2","taste receptor, type 1, member 2","1"
"Mrto4","69902","Mrto4","MRT4, mRNA turnover 4, homolog (S. cerevisiae)","1"
"Akr7a5","110198","Akr7a5","aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)","1"
"Pqlc2","212555","Pqlc2","PQ loop repeat containing 2","1"
"Capzb","12345","Capzb","capping protein (actin filament) muscle Z-line, beta","1"
"Htr6","15565","Htr6","5-hydroxytryptamine (serotonin) receptor 6","1"
"Pla2g2f","26971","Pla2g2f","phospholipase A2, group IIF","1"
"Pla2g2c","18781","Pla2g2c","phospholipase A2, group IIC","1"
"Pla2g2e","26970","Pla2g2e","phospholipase A2, group IIE","1"
"Vwa5b1","75718","Vwa5b1","von Willebrand factor A domain containing 5B1","1"
"Cda","72269","Cda","cytidine deaminase","1"
"Pink1","68943","Pink1","PTEN induced putative kinase 1","1"
"Ddost","13200","Ddost","dolichyl-di-phosphooligosaccharide-protein glycotransferase","1"
"Kif17","16559","Kif17","kinesin family member 17","1"
"Hp1bp3","15441","Hp1bp3","heterochromatin protein 1, binding protein 3","1"
"Eif4g3","230861","Eif4g3","eukaryotic translation initiation factor 4 gamma, 3","1"
"Hspg2","15530","Hspg2","perlecan (heparan sulfate proteoglycan 2)","1"
"Alpl","11647","Alpl","alkaline phosphatase, liver/bone/kidney","1"
"Ptpn12","19248","Ptpn12","protein tyrosine phosphatase, non-receptor type 12","1"
"Zcchc17","619605","Zcchc17","zinc finger, CCHC domain containing 17","1"
"Fabp3","14077","Fabp3","fatty acid binding protein 3, muscle and heart","1"
"Tinagl1","94242","Tinagl1","tubulointerstitial nephritis antigen-like 1","1"
"Gnat3","242851","Gnat3","guanine nucleotide binding protein, alpha transducing 3","1"
"Hcrtr1","230777","Hcrtr1","hypocretin (orexin) receptor 1","1"
"Pef1","67898","Pef1","penta-EF hand domain containing 1","1"
"Sema3c","20348","Sema3c","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C","1"
"Adgrb2","NA","NA","NA","0"
"Spocd1","622480","Spocd1","SPOC domain containing 1","1"
"Hpca","15444","Hpca","hippocalcin","1"
"Tmem54","66260","Tmem54","transmembrane protein 54","1"
"Ptp4a2","19244","Ptp4a2","protein tyrosine phosphatase 4a2","1"
"Azin2","NA","NA","NA","0"
"Khdrbs1","20218","Khdrbs1","KH domain containing, RNA binding, signal transduction associated 1","1"
"Ak2","11637","Ak2","adenylate kinase 2","1"
"Rnf19b","75234","Rnf19b","ring finger protein 19B","1"
"A3galt2","215493","A3galt2","alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)","1"
"Ccdc28b","66264","Ccdc28b","coiled coil domain containing 28B","1"
"Phc2","54383","Phc2","polyhomeotic-like 2 (Drosophila)","1"
"Tmem234","NA","NA","NA","0"
"Eif3i","54709","Eif3i","eukaryotic translation initiation factor 3, subunit I","1"
"Zfp362","230761","Zfp362","zinc finger protein 362","1"
"Hdac1","433759","Hdac1","histone deacetylase 1","1"
"Stpg1","NA","NA","NA","0"
"Nipal3","74552","Nipal3","NIPA-like domain containing 3","1"
"Csmd2","329942","Csmd2","CUB and Sushi multiple domains 2","1"
"Zbtb8a","73680","Zbtb8a","zinc finger and BTB domain containing 8a","1"
"Srrm1","51796","Srrm1","serine/arginine repetitive matrix 1","1"
"Yars","107271","Yars","tyrosyl-tRNA synthetase","1"
"CK137956","635169","CK137956","cDNA sequence CK137956","1"
"Sfpq","71514","Sfpq","splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)","1"
"Syf2","68592","Syf2","SYF2 homolog, RNA splicing factor (S. cerevisiae)","1"
"Tmem50a","71817","Tmem50a","transmembrane protein 50A","1"
"Rhd","19746","Rhd","Rh blood group, D antigen","1"
"Tmem57","66146","Tmem57","transmembrane protein 57","1"
"AU040320","100317","AU040320","expressed sequence AU040320","1"
"Stmn1","16765","Stmn1","stathmin 1","1"
"Ncdn","26562","Ncdn","neurochondrin","1"
"Trim63","433766","Trim63","tripartite motif-containing 63","1"
"Slc30a2","230810","Slc30a2","solute carrier family 30 (zinc transporter), member 2","1"
"Psmb2","26445","Psmb2","proteasome (prosome, macropain) subunit, beta type 2","1"
"Extl1","56219","Extl1","exostoses (multiple)-like 1","1"
"Zfp593","68040","Zfp593","zinc finger protein 593","1"
"Cnksr1","194231","Cnksr1","connector enhancer of kinase suppressor of Ras 1","1"
"Ago3","NA","NA","NA","0"
"Sh3bgrl3","73723","Sh3bgrl3","SH3 domain binding glutamic acid-rich protein-like 3","1"
"Tekt2","24084","Tekt2","tektin 2","1"
"Trappc3","27096","Trappc3","trafficking protein particle complex 3","1"
"Gpn2","100210","Gpn2","GPN-loop GTPase 2","1"
"Map7d1","NA","NA","NA","0"
"Gpatch3","242691","Gpatch3","G patch domain containing 3","1"
"Nudc","18221","Nudc","nuclear distribution gene C homolog (Aspergillus)","1"
"Slc9a1","20544","Slc9a1","solute carrier family 9 (sodium/hydrogen exchanger), member 1","1"
"Tmem222","52174","Tmem222","transmembrane protein 222","1"
"Csf3r","12986","Csf3r","colony stimulating factor 3 receptor (granulocyte)","1"
"Sytl1","269589","Sytl1","synaptotagmin-like 1","1"
"Mrps15","66407","Mrps15","mitochondrial ribosomal protein S15","1"
"Map3k6","53608","Map3k6","mitogen-activated protein kinase kinase kinase 6","1"
"Meaf6","70088","Meaf6","MYST/Esa1-associated factor 6","1"
"Hgf","15234","Hgf","hepatocyte growth factor","1"
"Cd164l2","69655","Cd164l2","CD164 sialomucin-like 2","1"
"Wasf2","242687","Wasf2","WAS protein family, member 2","1"
"Gnl2","230737","Gnl2","guanine nucleotide binding protein-like 2 (nucleolar)","1"
"Rspo1","192199","Rspo1","R-spondin homolog (Xenopus laevis)","1"
"Cdca8","52276","Cdca8","cell division cycle associated 8","1"
"Fgr","14191","Fgr","Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog","1"
"Epha10","230735","Epha10","Eph receptor A10","1"
"Fam76a","230789","Fam76a","family with sequence similarity 76, member A","1"
"Stx12","100226","Stx12","syntaxin 12","1"
"Ppp1r8","100336","Ppp1r8","protein phosphatase 1, regulatory (inhibitor) subunit 8","1"
"Sema3a","20346","Sema3a","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","1"
"Rpa2","19891","Rpa2","replication protein A2","1"
"Smpdl3b","100340","Smpdl3b","sphingomyelin phosphodiesterase, acid-like 3B","1"
"Eya3","14050","Eya3","eyes absent 3 homolog (Drosophila)","1"
"Yrdc","230734","Yrdc","yrdC domain containing (E.coli)","1"
"Mtf1","17764","Mtf1","metal response element binding transcription factor 1","1"
"Sesn2","230784","Sesn2","sestrin 2","1"
"Inpp5b","16330","Inpp5b","inositol polyphosphate-5-phosphatase B","1"
"Rcc1","100088","Rcc1","regulator of chromosome condensation 1","1"
"Trnau1ap","71787","Trnau1ap","tRNA selenocysteine 1 associated protein 1","1"
"Taf12","66464","Taf12","TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor","1"
"Gmeb1","56809","Gmeb1","glucocorticoid modulatory element binding protein 1","1"
"Sf3a3","75062","Sf3a3","splicing factor 3a, subunit 3","1"
"Epb4.1","269587","Epb4.1","erythrocyte protein band 4.1","1"
"Utp11l","67205","Utp11l","UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)","1"
"Ptpru","19273","Ptpru","protein tyrosine phosphatase, receptor type, U","1"
"Mecr","26922","Mecr","mitochondrial trans-2-enoyl-CoA reductase","1"
"Srsf4","57317","Srsf4","serine/arginine-rich splicing factor 4","1"
"Casp9","12371","Casp9","caspase 9","1"
"Plekhm2","69582","Plekhm2","pleckstrin homology domain containing, family M (with RUN domain) member 2","1"
"Arhgef19","213649","Arhgef19","Rho guanine nucleotide exchange factor (GEF) 19","1"
"Fbxo42","213499","Fbxo42","F-box protein 42","1"
"Necap2","66147","Necap2","NECAP endocytosis associated 2","1"
"Cdk14","18647","Cdk14","cyclin-dependent kinase 14","1"
"Padi2","18600","Padi2","peptidyl arginine deiminase, type II","1"
"Kcnab2","16498","Kcnab2","potassium voltage-gated channel, shaker-related subfamily, beta member 2","1"
"Psmc2","19181","Psmc2","proteasome (prosome, macropain) 26S subunit, ATPase 2","1"
"Xrcc2","57434","Xrcc2","X-ray repair complementing defective repair in Chinese hamster cells 2","1"
"Rpl22","19934","Rpl22","ribosomal protein L22","1"
"Acot7","70025","Acot7","acyl-CoA thioesterase 7","1"
"Galntl5","67909","Galntl5","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5","1"
"Hes2","15206","Hes2","hairy and enhancer of split 2 (Drosophila)","1"
"Espn","56226","Espn","espin","1"
"Prkag2","108099","Prkag2","protein kinase, AMP-activated, gamma 2 non-catalytic subunit","1"
"Rheb","19744","Rheb","Ras homolog enriched in brain","1"
"Hes3","15207","Hes3","hairy and enhancer of split 3 (Drosophila)","1"
"Nol9","74035","Nol9","nucleolar protein 9","1"
"Smarcd3","66993","Smarcd3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3","1"
"Tas1r1","110326","Tas1r1","taste receptor, type 1, member 1","1"
"Zbtb48","100090","Zbtb48","zinc finger and BTB domain containing 48","1"
"Abcf2","27407","Abcf2","ATP-binding cassette, sub-family F (GCN20), member 2","1"
"Nub1","53312","Nub1","negative regulator of ubiquitin-like proteins 1","1"
"Vamp3","22319","Vamp3","vesicle-associated membrane protein 3","1"
"Per3","18628","Per3","period homolog 3 (Drosophila)","1"
"Tmub1","64295","Tmub1","transmembrane and ubiquitin-like domain containing 1","1"
"Fastk","66587","Fastk","Fas-activated serine/threonine kinase","1"
"Ube4b","63958","Ube4b","ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)","1"
"Pgd","110208","Pgd","phosphogluconate dehydrogenase","1"
"Slc4a2","20535","Slc4a2","solute carrier family 4 (anion exchanger), member 2","1"
"Uts2","24111","Uts2","urotensin 2","1"
"Park7","57320","Park7","Parkinson disease (autosomal recessive, early onset) 7","1"
"Tnfrsf9","21942","Tnfrsf9","tumor necrosis factor receptor superfamily, member 9","1"
"Errfi1","74155","Errfi1","ERBB receptor feedback inhibitor 1","1"
"Cdk5","12568","Cdk5","cyclin-dependent kinase 5","1"
"Abcb1b","18669","Abcb1b","ATP-binding cassette, sub-family B (MDR/TAP), member 1B","1"
"Cort","12854","Cort","cortistatin","1"
"Car6","12353","Car6","carbonic anhydrase 6","1"
"Abcb8","74610","Abcb8","ATP-binding cassette, sub-family B (MDR/TAP), member 8","1"
"Dffa","13347","Dffa","DNA fragmentation factor, alpha subunit","1"
"Pex14","56273","Pex14","peroxisomal biogenesis factor 14","1"
"Slc2a5","56485","Slc2a5","solute carrier family 2 (facilitated glucose transporter), member 5","1"
"Casz1","69743","Casz1","castor homolog 1, zinc finger (Drosophila)","1"
"Nos3","18127","Nos3","nitric oxide synthase 3, endothelial cell","1"
"Masp2","17175","Masp2","mannan-binding lectin serine peptidase 2","1"
"H6pd","100198","H6pd","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)","1"
"Slc25a33","70556","Slc25a33","solute carrier family 25, member 33","1"
"Klhl7","52323","Klhl7","kelch-like 7 (Drosophila)","1"
"Ctnnbip1","67087","Ctnnbip1","catenin beta interacting protein 1","1"
"Angptl7","654812","Angptl7","angiopoietin-like 7","1"
"Lzic","69151","Lzic","leucine zipper and CTNNBIP1 domain containing","1"
"Mtor","56717","Mtor","mechanistic target of rapamycin (serine/threonine kinase)","1"
"Nmnat1","66454","Nmnat1","nicotinamide nucleotide adenylyltransferase 1","1"
"Fam126a","84652","Fam126a","family with sequence similarity 126, member A","1"
"Rbp7","63954","Rbp7","retinol binding protein 7, cellular","1"
"Tomm7","66169","Tomm7","translocase of outer mitochondrial membrane 7 homolog (yeast)","1"
"Rint1","72772","Rint1","RAD50 interactor 1","1"
"Fbxo44","230903","Fbxo44","F-box protein 44","1"
"Mad2l2","71890","Mad2l2","MAD2 mitotic arrest deficient-like 2 (yeast)","1"
