"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"histidine decarboxylase",3,2,36.578,14.286,0.041575,1,0.067214
"acetyl-CoA carboxylase",17,4,39.644,14.286,0.041944,1,0.067214
"3-Hydroxy-L-kynurenine hydrolase",21,5,38.882,14.286,0.042278,1,0.067214
"3-hydroxyanthranilate 3,4-dioxygenase",21,5,38.882,14.286,0.042278,1,0.067214
"5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)",21,5,38.882,14.286,0.042278,1,0.067214
"kynurenine 3-monooxygenase",21,5,38.882,14.286,0.042278,1,0.067214
"L-Tryptophan:oxygen 2,3-oxidoreductase (decyclizing)",21,5,38.882,14.286,0.042278,1,0.067214
"N-Formyl-L-kynurenine amidohydrolase",21,5,38.882,14.286,0.042278,1,0.067214
"nicotinate-nucleotide diphosphorylase (carboxylating)",21,5,38.882,14.286,0.042278,1,0.067214
"Quinolinate Synthase (Eukaryotic)",21,5,38.882,14.286,0.042278,1,0.067214
"NADP nucleosidase,extracellular",3,1,52.198,14.286,0.04293,1,0.067844
"Nicotinamide exchange",1,1,52.198,14.286,0.04293,1,0.067844
"timnodonic acid exchange",1,1,51.982,14.286,0.043575,1,0.068659
"pyridoxal transport via diffusion",19,6,35.157,14.286,0.044117,1,0.069308
"Glycine exchange",1,1,50.902,14.286,0.046903,1,0.073287
"Choline exchange",1,1,50.875,14.286,0.046988,1,0.073287
"Citrate exchange",1,1,50.808,14.286,0.047202,1,0.073287
"H+ exchange",2,1,50.808,14.286,0.047202,1,0.073287
"L-Lactate exchange",1,1,50.301,14.286,0.048835,1,0.075357
"Glutathione dehydrogenase (dehydroascorbate reductase)",29,7,35.427,14.286,0.049206,1,0.075357
"1-acylglycerol-3-phosphate O-acyltransferase 1",4,1,50.047,14.286,0.04967,1,0.075357
"glycerol-3-phosphate acyltransferase",4,1,50.047,14.286,0.04967,1,0.075357
"Glycerol exchange",1,1,50.047,14.286,0.04967,1,0.075357
"glycerol kinase",1,1,50.047,14.286,0.04967,1,0.075357
"glycerol transport via channel",1,1,50.047,14.286,0.04967,1,0.075357
"lipase",3,1,50.047,14.286,0.04967,1,0.075357
"transport into the mitochondria (carnitine)",4,3,46.434,14.286,0.052831,1,0.079697
"carnitine transferase",4,3,46.434,14.286,0.052831,1,0.079697
"Nitric Oxide Synthase (NO forming)",28,8,31.649,14.286,0.056063,1,0.08342
"Steryl-sulfatase",5,1,47.68,14.286,0.057975,1,0.08342
"3',5'-bisphosphate nucleotidase",7,1,47.68,14.286,0.057975,1,0.08342
"adenylyl-sulfate kinase",7,1,47.68,14.286,0.057975,1,0.08342
"sulfate adenylyltransferase",7,1,47.68,14.286,0.057975,1,0.08342
"2-Aminoacrylate sulfotransferase",1,1,47.68,14.286,0.057975,1,0.08342
"3-Sulfoalanine carboxy-lyase",1,1,47.68,14.286,0.057975,1,0.08342
"L-Serine hydro-lyase",1,1,47.68,14.286,0.057975,1,0.08342
"Taurine exchange",1,1,47.68,14.286,0.057975,1,0.08342
"sulfite oxidase",4,1,47.68,14.286,0.057975,1,0.08342
"Cyanide sulfurtransferase, mitochondrial",3,1,47.68,14.286,0.057975,1,0.08342
"Cyanide transport via diffusion (mitochondrial)",3,1,47.68,14.286,0.057975,1,0.08342
"Thiocyanate transport via diffusion (mitochondrial)",3,1,47.68,14.286,0.057975,1,0.08342
"thiosulfate transport via sodium symport",3,1,47.68,14.286,0.057975,1,0.08342
"Cyanide transport via diffusion (extracellular to cytosol)",4,1,47.68,14.286,0.057975,1,0.08342
"Thiocyanate exchange",4,1,47.68,14.286,0.057975,1,0.08342
"Thiocyanate transport via diffusion (cytosol to extracellular)",4,1,47.68,14.286,0.057975,1,0.08342
"Arachidic acid exchange",19,5,32.804,14.286,0.058127,1,0.08342
"fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA)",5,2,47.12,14.286,0.058951,1,0.083922
"carnitine O-palmitoyltransferase",3,2,47.12,14.286,0.058951,1,0.083922
"Beta oxidation of fatty acid",3,2,47.12,14.286,0.058951,1,0.083922
"Iodide:hydrogen-peroxide oxidoreductase 4",25,5,33.081,14.286,0.060739,1,0.086007
"L-Thyroxine exchange",25,5,33.081,14.286,0.060739,1,0.086007
"Adenine exchange",1,1,46.235,14.286,0.063536,1,0.089489
"adenine reversible transport, cytosol",1,1,46.235,14.286,0.063536,1,0.089489
"fatty acid transport via diffusion",22,7,36.835,14.286,0.065163,1,0.09004
"carnitine O-acetyltransferase, reverse direction, peroxisomal",8,4,34.392,14.286,0.066513,1,0.09004
"carnitine-acetylcarnitine carrier, peroxisomal",8,4,34.392,14.286,0.066513,1,0.09004
"2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate), mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"3-amino-isobutyrate transport",2,1,45.43,14.286,0.066809,1,0.09004
"3-amino-isobutyrate transport, mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria)",2,1,45.43,14.286,0.066809,1,0.09004
"3-hydroxyisobutyrate dehydrogenase, mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"L-3-Amino-isobutanoate exchange",2,1,45.43,14.286,0.066809,1,0.09004
"L-3-aminoisobutyrate transaminase, mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"malonate-semialdehyde dehydrogenase (acetylating), mitochondrial",2,1,45.43,14.286,0.066809,1,0.09004
"methylmalonate-semialdehyde dehydrogenase",2,1,45.43,14.286,0.066809,1,0.09004
"L-valine transport via diffusion (extracellular to cytosol)",1,1,45.43,14.286,0.066809,1,0.09004
"Valine reversible mitochondrial transport",1,1,45.43,14.286,0.066809,1,0.09004
"valine transaminase, mitochondiral",1,1,45.43,14.286,0.066809,1,0.09004
"fatty-acid--CoA ligase (hexadecenoate)",1,1,45.048,14.286,0.068406,1,0.091495
"hexadecenoate (n-C16:1) exchange",1,1,45.048,14.286,0.068406,1,0.091495
"palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA)",1,1,45.048,14.286,0.068406,1,0.091495
"fatty-acid--CoA ligase (n-C26:0)",3,1,44.948,14.286,0.068826,1,0.091596
"lignoceric acid exchange",3,1,44.948,14.286,0.068826,1,0.091596
"fatty-acid--CoA ligase",24,7,36.458,14.286,0.069959,1,0.09287
"O2 transport, peroxisomal",5,3,30.947,14.286,0.081381,1,0.10776
"Linoleic acid (n-C18:2) transport in via diffusion",3,1,41.888,14.286,0.082775,1,0.10907
"gamma-linolenic acid exchange",2,1,41.888,14.286,0.082775,1,0.10907
"glucosamine-6-phosphate deaminase",6,6,30.519,14.286,0.083766,1,0.11008
"Maltodextrin glucosidase (maltotriose), extracellular",2,2,39.885,14.286,0.083957,1,0.11008
"methenyltetrahydrifikate cyclohydrolase, mitochondrial",8,2,31.517,14.286,0.084819,1,0.11093
"enolase",6,2,32.674,14.286,0.089438,1,0.1164
"pyruvate kinase",6,2,32.674,14.286,0.089438,1,0.1164
"C180 fatty acid activation",1,1,39.717,14.286,0.093946,1,0.12116
"2-aminomuconate reductase",20,4,28.695,14.286,0.094924,1,0.12116
"aminomuconate-semialdehyde dehydrogenase",20,4,28.695,14.286,0.094924,1,0.12116
"picolinic acid decarboxylase",20,4,28.695,14.286,0.094924,1,0.12116
"Reduced glutathione exchange",18,4,28.695,14.286,0.094924,1,0.12116
"cysteinesulfinic acid oxidase",17,4,28.695,14.286,0.094924,1,0.12116
"Hypotaurine oxidase",17,4,28.695,14.286,0.094924,1,0.12116
"Glutathione:cystine oxidoreductase",20,4,28.695,14.286,0.094924,1,0.12116
"Cytosine deaminase",1,1,39.122,14.286,0.097208,1,0.12349
"cytosine transport via facilated diffusion",1,1,39.122,14.286,0.097208,1,0.12349
"sucrose hydrolyzing enxyme, extracellular",1,1,39.012,14.286,0.09782,1,0.12397
"alpha-Tocopherol (Vit. E) transport",1,1,38.544,14.286,0.10046,1,0.12671
"alpha-Tocopherol demand",1,1,38.544,14.286,0.10046,1,0.12671
"Dehydroascorbate exchange",2,1,38.173,14.286,0.1026,1,0.1291
"L-Serine exchange",1,1,37.237,14.286,0.10814,1,0.13575
"adenylosuccinate synthase",4,2,32.88,14.286,0.11089,1,0.13888
"N-acetyl-glucosamine lysosomal efflux",8,6,27.738,14.286,0.11417,1,0.14231
"N-acetylglucosamine kinase",8,6,27.738,14.286,0.11417,1,0.14231
"D-Mannose exchange",1,1,35.531,14.286,0.11888,1,0.14379
"hexokinase (D-mannose:ATP)",1,1,35.531,14.286,0.11888,1,0.14379
"beta-galactosidase, lysosomal",3,1,35.531,14.286,0.11888,1,0.14379
"galactose efflux from lysosome",3,1,35.531,14.286,0.11888,1,0.14379
"N-Acetylneuraminate lyase (reversible)",3,1,35.531,14.286,0.11888,1,0.14379
"s2l2n2m2masn transport, extracellular to lysosome",3,1,35.531,14.286,0.11888,1,0.14379
"sialidase, lysosomal",3,1,35.531,14.286,0.11888,1,0.14379
"n2m2nmasn transport, extracellular to lysosome",2,1,35.531,14.286,0.11888,1,0.14379
"endo-beta-N-acetylglucosaminidase, lysosomal",4,1,35.531,14.286,0.11888,1,0.14379
"glycosylasparaginase, lysosomal",4,1,35.531,14.286,0.11888,1,0.14379
"beta-N-acetylhexosaminidase, lysosomal",4,1,35.531,14.286,0.11888,1,0.14379
"L-Fucose exchange",4,1,35.531,14.286,0.11888,1,0.14379
"alpha-fucosidase, extracellular",4,1,35.531,14.286,0.11888,1,0.14379
"L-aspartate transport via Na, H symport and K antiport",1,1,34.923,14.286,0.1229,1,0.14832
"N-acetylglucosamine-6-phosphate deacetylase",5,5,26.072,14.286,0.12532,1,0.15089
"5'-nucleotidase (CMP), extracellular",1,1,33.86,14.286,0.13022,1,0.15644
"Urate exchange",1,1,32.019,14.286,0.14375,1,0.17076
"urate export from cytosol",1,1,32.019,14.286,0.14375,1,0.17076
"urate export from peroxisome",1,1,32.019,14.286,0.14375,1,0.17076
"xanthine diffusion in peroxisome",1,1,32.019,14.286,0.14375,1,0.17076
"xanthine oxidase,peroxisomal",1,1,32.019,14.286,0.14375,1,0.17076
"D-Glucose exchange",1,1,31.522,14.286,0.1476,1,0.17494
"pyridoxal kinase",17,5,23.736,14.286,0.16079,1,0.18993
"5'-nucleotidase (dCMP)",1,1,29.794,14.286,0.16167,1,0.18993
"Deoxycytidine exchange",1,1,29.794,14.286,0.16167,1,0.18993
"deoxycytidine transport via diffusion",1,1,29.794,14.286,0.16167,1,0.18993
"2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate), mitochondrial",1,1,27.012,14.286,0.18677,1,0.21595
"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial",1,1,27.012,14.286,0.18677,1,0.21595
"leucine mitochondrial transport",1,1,27.012,14.286,0.18677,1,0.21595
"leucine transaminase, mitochondrial",1,1,27.012,14.286,0.18677,1,0.21595
"methylcrotonoyl-CoA carboxylase, mitochondrial",1,1,27.012,14.286,0.18677,1,0.21595
"methylglutaconyl-CoA hydratase (reversible), mitochondrial",1,1,27.012,14.286,0.18677,1,0.21595
"thioredoxin reductase (NADPH)",9,2,24.178,14.286,0.18688,1,0.21595
"Guanosine exchange",1,1,26.98,14.286,0.18708,1,0.21595
"alpha-mannosidase, lysosomal",7,4,22.631,14.286,0.19292,1,0.22077
"beta-mannosidase, lysosomal",7,4,22.631,14.286,0.19292,1,0.22077
"DM Asn-X-Ser/Thr(ly)",7,4,22.631,14.286,0.19292,1,0.22077
"mannose efflux from lysosome",7,4,22.631,14.286,0.19292,1,0.22077
"arginase",1,1,25.627,14.286,0.20051,1,0.22799
"arginase (m)",1,1,25.627,14.286,0.20051,1,0.22799
"arginine mitochondrial transport via ornithine carrier",1,1,25.627,14.286,0.20051,1,0.22799
"H2O transport, lysosomal",5,3,22.551,14.286,0.20294,1,0.23026
"alpha-amylase, extracellular (glygn2 -> glygn4)",1,1,24.574,14.286,0.21157,1,0.23651
"alpha-amylase, extracellular (strch1 -> strch2)",1,1,24.574,14.286,0.21157,1,0.23651
"glucoamylase, extracellular (glygn5 -> malt)",1,1,24.574,14.286,0.21157,1,0.23651
"Maltose exchange",1,1,24.574,14.286,0.21157,1,0.23651
"oligo-1,6-glucosidase (glygn4 -> glygn5), extracellular",1,1,24.574,14.286,0.21157,1,0.23651
"oligo-1,6-glucosidase (strch2 ->strch3), extracellular",1,1,24.574,14.286,0.21157,1,0.23651
"Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) exchange",1,1,24.574,14.286,0.21157,1,0.23651
"adrenic acid exchange",1,1,23.98,14.286,0.21805,1,0.24025
"fatty acyl-CoA desaturase (n-C20:3CoA -> n-C20:4CoA)",3,1,23.98,14.286,0.21805,1,0.24025
"fatty-acyl-CoA elongation (n-C20:4CoA)",3,1,23.98,14.286,0.21805,1,0.24025
"argininosuccinate lyase",3,2,22.103,14.286,0.21899,1,0.24025
"argininosuccinate synthase",3,2,22.103,14.286,0.21899,1,0.24025
"carbamoyl-phosphate synthase (ammonia) (mitochondria",2,2,22.103,14.286,0.21899,1,0.24025
"Creatine transport (sodium symport) (2:1)",2,2,22.103,14.286,0.21899,1,0.24025
"ornithine carbamoyltransferase, irreversible",2,2,22.103,14.286,0.21899,1,0.24025
"Urea exchange",2,2,22.103,14.286,0.21899,1,0.24025
"inositol oxygenase",1,1,22.807,14.286,0.2314,1,0.25179
"myo-inositol 1-phosphatase",1,1,22.807,14.286,0.2314,1,0.25179
"myo-Inositol exchange",1,1,22.807,14.286,0.2314,1,0.25179
"myo-Inositol-1-phosphate synthase",1,1,22.807,14.286,0.2314,1,0.25179
"Adenosine exchange",1,1,19.91,14.286,0.26778,1,0.29078
"Deoxyuridine exchange",1,1,18.812,14.286,0.283,1,0.30605
"deoxyuridine transport via diffusion",1,1,18.812,14.286,0.283,1,0.30605
"Creatine exchange",1,1,18.674,14.286,0.28497,1,0.30632
"glycine amidinotransferase (c)",1,1,18.674,14.286,0.28497,1,0.30632
"guanidinoacetate N-methyltransferase (c)",1,1,18.674,14.286,0.28497,1,0.30632
"heptadecanoate transport into the mitochondria",1,1,17.441,14.286,0.30324,1,0.32399
"Beta oxidation of long chain fatty acid (odd chain)",2,1,17.441,14.286,0.30324,1,0.32399
"carnitine fatty-acyl transferase",2,1,17.441,14.286,0.30324,1,0.32399
"L-carnitine transport out of mitochondria via diffusion",7,2,18.333,14.286,0.3098,1,0.329
"methylmalonyl-CoA mutase",8,2,18.333,14.286,0.3098,1,0.329
"Propionyl-CoA carboxylase, mitochondrial",8,2,18.333,14.286,0.3098,1,0.329
"ADPribose exchange",2,2,17.693,14.286,0.3286,1,0.34828
"3-Methylimidazole acetaldehyde:NAD+ oxidoreductase",2,1,11.195,14.286,0.41789,1,0.43767
"3-Methylimidazoleacetic acid exchange",2,1,11.195,14.286,0.41789,1,0.43767
"3MLDA extracellular transport via diffusion",2,1,11.195,14.286,0.41789,1,0.43767
"Histamine uniport",2,1,11.195,14.286,0.41789,1,0.43767
"N-Methylhistamine:oxygen oxidoreductase (deaminating)",2,1,11.195,14.286,0.41789,1,0.43767
"S-Adenosyl-L-methionine:histamine N-tele-methyltransferase",2,1,11.195,14.286,0.41789,1,0.43767
"glyoxylate oxidase",1,1,6.6496,14.286,0.5375,1,0.56073
"Oxalate exchange",1,1,6.6496,14.286,0.5375,1,0.56073
"Sarcosine dehydrogenase (m)",1,1,4.6882,14.286,0.60653,1,0.62904
"Sarcosine transport (extracellular to cytosol)",1,1,4.6882,14.286,0.60653,1,0.62904
"Sarcosine transport (mitochondrial)",1,1,4.6882,14.286,0.60653,1,0.62904
"5-L-Glutamyl-L-alanine exchange",1,1,1.8914,14.286,0.74537,1,0.76408
"5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir)",1,1,1.8914,14.286,0.74537,1,0.76408
"gamma-glutamylcyclotransferase",1,1,1.8914,14.286,0.74537,1,0.76408
"g-glutamyltransferase (e)",2,1,1.8914,14.286,0.74537,1,0.76408
"gamma-glutamylcysteine synthetase",3,1,1.8914,14.286,0.74537,1,0.76408
"glutathione synthetase",3,1,1.8914,14.286,0.74537,1,0.76408
"UDP exchange",2,1,1.2734,14.286,0.79021,1,0.80848
"D-Fructose exchange",1,1,1.0328,14.286,0.81076,1,0.82474
"D-sorbitol dehydrogenase (D-fructose producing)",1,1,1.0328,14.286,0.81076,1,0.82474
"D-sorbitol reductase",1,1,1.0328,14.286,0.81076,1,0.82474
"ornithine transport via diffusion (extracellular to cytosol)",1,1,0.56545,14.286,0.85954,1,0.87269
"thymd transport",1,1,0.49212,14.286,0.8689,1,0.87716
"thymidine transport (1:2 Na/Thymd cotransport)",1,1,0.49212,14.286,0.8689,1,0.87716
"thymidine transport in via sodium symport",1,1,0.49212,14.286,0.8689,1,0.87716
"hypothetical enyme",1,1,0.21785,14.286,0.91261,1,0.9178
"Pyridoxamine exchange",1,1,0.21785,14.286,0.91261,1,0.9178
"fatty-acyl-CoA elongation (n-C20:5CoA)",2,1,0.082796,14.286,0.94608,1,0.94608
"fatty acyl-CoA desaturase (n-C22:5CoA -> n-C22:6CoA)",1,1,0.082796,14.286,0.94608,1,0.94608
"nC22:6 exchange",1,1,0.082796,14.286,0.94608,1,0.94608
