"","correlation","t-stat","p-value","FDR"
"glycylleucine",-0.060346,-0.19118,0.85221,0.89857
"gamma-glutamyl-2-aminobutyrate",0.056865,0.18012,0.86066,0.90514
"N6-succinyladenosine",-0.048649,-0.15402,0.88066,0.92378
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)",0.046954,0.14864,0.88479,0.92573
"tauro-beta-muricholate",0.04508,0.1427,0.88936,0.92813
"adenosine 3',5'-diphosphate",0.044105,0.13961,0.89174,0.92823
"asparagine",-0.041728,-0.13207,0.89755,0.93033
"2-phosphoglycerate",0.041408,0.13106,0.89833,0.93033
"phosphoenolpyruvate (PEP)",0.040041,0.12672,0.90167,0.93087
"cytidine 5'-monophosphate (5'-CMP)",-0.039325,-0.12445,0.90342,0.93087
"allantoin",-0.033278,-0.10529,0.91823,0.94155
"2-stearoyl-GPE (18:0)*",0.033199,0.10504,0.91842,0.94155
"gulonic acid*",0.028371,0.089752,0.93026,0.94904
"myristoleate (14:1n5)",0.028318,0.089585,0.93039,0.94904
"prolylglycine",0.021874,0.069188,0.9462,0.96276
"taurodeoxycholate",-0.016169,-0.051138,0.96022,0.97459
"phenylalanine",0.01251,0.039564,0.96922,0.97899
"citrulline",-0.012448,-0.039368,0.96937,0.97899
"cytidine",-0.0074114,-0.023438,0.98176,0.98905
"alpha-muricholate",0.0041559,0.013142,0.98977,0.99382
"N-acetylserine",-0.0035047,-0.011083,0.99138,0.99382
"erucate (22:1n9)",0.00076497,0.0024191,0.99812,0.99812
