"","correlation","t-stat","p-value","FDR"
"homostachydrine*",-0.032717,-0.10352,0.9196,0.95734
"isoleucylglycine",0.032673,0.10338,0.91971,0.95734
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",-0.026531,-0.083927,0.93477,0.97054
"serine",0.025511,0.080699,0.93727,0.97066
"palmitoleate (16:1n7)",0.022635,0.071596,0.94434,0.97549
"eicosapentaenoate (EPA; 20:5n3)",0.020255,0.064067,0.95018,0.97722
"17-methylstearate",-0.017629,-0.055757,0.95663,0.97722
"alanylleucine",0.017612,0.055703,0.95668,0.97722
"gamma-glutamylleucine",0.016933,0.053556,0.95834,0.97722
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",-0.016645,-0.052644,0.95905,0.97722
"N-acetylalanine",0.015042,0.047573,0.96299,0.97722
"fructose",-0.014446,-0.045688,0.96446,0.97722
"N-acetylserine",0.014138,0.044712,0.96522,0.97722
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",0.012233,0.038687,0.9699,0.97782
"glycosyl-N-stearoyl-sphingosine",-0.011224,-0.035495,0.97238,0.97782
"2-methylbutyrylcarnitine (C5)",0.010515,0.033254,0.97413,0.97782
"1-palmitoyl-GPI (16:0)*",-0.0099915,-0.031597,0.97541,0.97782
"palmitoylcarnitine",-0.0045308,-0.014328,0.98885,0.98885
